"*根據2024 QS世界大學排名，本校排名為219。Based on 2024 QS World University Ranking, NYCU is ranked 217th.",,,,,Last Update,2024/12/4,,,,,,,,,,,,,,,,,,,
"***系所年級/語言能力/在校成績限制依照姐妹校規定表述，但姐妹校可能隨時調整規定，請依照姐妹校官網為準。系所以主修或雙主修為準，年級以出國交換時之年級為準。All requirements are set by partner institutions; however, institutions can update their requirements from time to time. Please refer to their website for most updated information. Double major can be used to fuifill the home department requirements. The year of study requirment refers to the year of study during exchange.",,,,,,,,,,,,,,,,,,,,,,,,,
紫色字體校名者為「拓荒者計畫」學校，率取且符合本校出國交換獎學金標準之學生，可優先獲得較高額補助。Instiition names in purple are part of the Trailblazer program that students accepted and fulfilled NYCU's requirements of the outbound exchange student scholarships will be granted higher amount of scholarships.,,,,,,,,,,,,,,,,,,,,,,,,,

"國家
Country","學校
Institution","排名*
Ranking","名額**
Quota","系所年級限制***
Eligibility","語言能力限制***
Language Requirement","成績限制***
Grade Requirement","備註
Remarks",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Shanghai University
上海大學",489,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"至少在原學校修業滿一年者
Applicants should at least complete one academic year at home university",,,,,,,,,,,,,,,,,,
,,,,,,,不接受陸籍學生 Students from Mainland China are not accepted,,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Sichuan University
四川大學",336,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請
Non-local students cannot apply",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Fuzhou University
福州大學",N/A,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,,,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","University of Science and Technology of China
中國科學技術大學",133,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"應屆畢業與陸籍學生不得申請；外籍大學部學生須會中文
Final year and Chinese students cannot apply; international UG students need to know Chinese",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Lanzhou University
蘭州大學",721-730,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,,,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Beijing University of Posts and Telecommunications
北京郵電大學",901-950,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"至少在原學校修業滿一年者
Applicants should at least complete one academic year at home university",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Peking University
北京大學",14,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"陸籍學生不得申請
Students from China cannot apply",,,,,,,,,,,,,,,,,,
,,,1 student,"管院大學部二年級以上及研究所學生
UG Yr.2 above & PG students of the College of Management",,,"陸籍學生不得申請Students from China cannot apply
交換至光華管理學院Exchange to Guanghua Management School",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","East China Normal University
華東師範大學",501,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,GPA3.0/4.3,"至少在原學校修業滿一年者
Applicants should at least complete one academic year at home university",,,,,,,,,,,,,,,,,,

"Mainland China
大陸地區","Dalian University of Technology
大連理工大學",448,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,,,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Central China Normal University
華中師範大學",N/A,4/sem.,"人社院大學部二年級以上及研究所學生
UG Yr. 2 above & PG students in College of Humanities & Social Sciences",,,"可交換至外國語學院、教育學院、音樂學院、新聞傳播學院
1. 可接受大陸籍學生報名交換生，但是否錄取要看當年競爭情況。2. 不太建議應屆畢業生報名交換生項目，因從經驗來看，學生選課積極性不高，沒有充分發揮資源，選派非應屆畢業學生更加有益。",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Xiamen University
廈門大學",362,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,MBA不接受交換；畢業前最後一學期不得交換；每學期2個名額可給陸籍學生交換 MBA program is restricted; Final semester students cannot apply; 2/sem. can be used by students from Mainland China,,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Fudan University
復旦大學",39,5 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"僅限本地生申請
Only local students can apply
管理學院研究所及其他專業學位不開放申請
School of Management PG program and other professional degrees do not accept application
畢業班不接受交換",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Shanghai Jiao tong University
上海交通大學",45,10/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,GPA3.38/4.30,不接受陸籍學生 Students from Mainland China are not accepted,,,,,,,,,,,,,,,,,,

,,,2/sem.,"人社院研究所學生(限非設計領域)
Humanities & Social Science PG students",,,"赴該校媒體與設計學院交換;不接受設計領域學生
Exchange to the school of  Media & Design;
Won't accept the students from design area",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Huazhong University of Science and Technology
華中科技大學",300,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"陸籍學生不得申請
Students from China cannot apply",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Nanjing University
南京大學",145,10/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請
Non-local students cannot apply",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Xi’an Jiaotong University
西安交通大學",295,10/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"陸籍與外籍學生不得申請(港、澳籍學生可)
International & Mainland Chinese students cannot apply (HK and Macau students are OK)
春季班暫不收研究生, 學士應屆畢業生, 或是延畢生申請
For spring semester, master degree students, final-year bachelor degree students or postpone-graduate students cannot apply.",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Beijing Jiaotong University
北京交通大學",901-950,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請、不收學士應屆畢業生
Non-local students  and final-year bachelor degree students cannot apply",,,,,,,,,,,,,,,,,,
,,,3/sem.,"科法院研究所學生
PG students of the School of Law",,,"交換至該校法學院
Exchange to the School of Law",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Chang'An University
長安大學",N/A,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"此為自費交換計畫，學生須自行負擔兩校學費
Fee-paying exchange program, students are required to pay tuition at both universities",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Tsinghua University
清華大學",20,1 student,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請；MBA及畢業班級不接受交換(不接受畢業前一學期)
Non-local students cannot apply; MBA program and final-year classes are restricted",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","South China University of Technology
華南理工大學",385,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,,,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","China Academy of Art
中國美術學院",N/A,1/sem.,"人社院研究所二年級以上學生
PG Yr. 2 above students in College of Humanities & Social Sciences",,,"僅限研究所學生申請；台灣籍為佳，應屆畢業生可
For PG students only; prefers Taiwanese students; final year students are acceptable",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Tongji university
同濟大學",192,5/sem.,"全校大學部二年級以上及研究所學生 
U-wide UG Yr.2 above & PG students",,GPA3.0/4.3,"非本國籍不得申請 
Non-local students cannot apply",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Southeast University
東南大學",428,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請；生醫工程、醫、公衛、建築學院不接受交換
Non-local students cannot apply; Biomed Eng, Medicine, Public Health & Archi. are restricted",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","University of Electronic Science and Technology of China
電子科技大學",451,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,,,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Chongqing University
重慶大學",489,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"不接受陸籍學生 Students from Mainland China are not accepted
無不及格科目 No failed subject ",,,,,,,,,,,,,,,,,,
"Mainland China
大陸地區","Nankai University
南開大學",377,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,,,,,,,,,,,,,,,,,,,
"Japan
日本","Waseda University
早稻田大學",181,Fall: 2 sem. slots,"全校大學部二年級以上學生
U-wide UG yr.2 above students","各program要求不同
Varies for different programs",GPA3.3/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"若志願序包含此校，請多上傳一份文件說明欲申請此校何種計畫並檢視是否符合該計畫各項規定
Please confirm if you meet the requirements of the program of your choice, and upload a statement of which program you would like to apply for and that you fulfil all its requirements.",,,,,,,,,,,,,,,,,,
"Japan
日本","Japan Advanced Institute of Science and Technology
北陸先端科學技術大學院大學",N/A,5 students,"全校大學部三年級以上及研究所學生
U-wide UG yr.3 above & PG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"學生以研究為主，但每學期仍需修讀2門專業課程 
Students will mainly do reseach with a professor at JAIST, but at the same time required to take at least 2 profesional courses per semester",,,,,,,,,,,,,,,,,,
"Japan
日本","Kyushu Institute of Technology
九州工業大學",1001-1200,5 students,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",Strongly recommended for bachelor students to have high proficiency of Japanese because there are no bachelor courses offered in English        ,,參考網頁 Link,,,,,,,,,,,,,,,,,,

"Japan
日本","University of Yamanashi
山梨大學",N/A,Fall: 4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",,,Exchange Program Guideline,,,,,,,,,,,,,,,,,,
,,,,,,,"大部分課程為日語授課
Most courses are taught in Japanese",,,,,,,,,,,,,,,,,,
"Japan
日本","Nagoya University
名古屋大學",152,1 student,"電機院大學部及研究所學生
UG & PG students of the College of ECE",iBT 79/IELTS 6/TOEIC 780/JLPT N1,GPA3.3/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Japan
日本","Gunma University
群馬大學",1001-1200,5 students,"工學院大學部以及研究所學生
UG & PG students of College of Engineering",JLPT N2,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"交換至交換至該校College of Science and Technology 學院，課程多為日語授課。
Exchange to College of Science and Technology with most courses taught in Janpanese",,,,,,,,,,,,,,,,,,
"Japan
日本","Institute of Science Tokyo (former Tokyo Tech)
東京科學大學 (前: 東京工業大學)",84,"Fall: 0
Spring: 4 students","全校大學部二年級以上及研究所學生
U-wide UG yr.2 above and PG students
YSEP (Research-oriented): UG yr.3 or Master or Doctoral
ACAP (Course-oriented): UG yr.2 above or Master or Doctoral","YSEP: High-level English ability is required (submission of official test scores is strongly recommended.)
ACAP: High-level English ability is required (submission of official test scores is strongly recommended.) JLPT result is required for UG yr.2 & 3 students.",,YSEP參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,ACAP參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Information Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,General Info. on YSEP,,,,,,,,,,,,,,,,,,
,,,,,,,General Info. on ACAP,,,,,,,,,,,,,,,,,,
,,,,,,,Comparison Table on YSEP & ACAP,,,,,,,,,,,,,,,,,,
,,,,,,,"需額外申請文件
Extra application document is required",,,,,,,,,,,,,,,,,,
"Japan
日本","Kyoto University
京都大學",50,2 students,"資訊、電機學院研究所學生
PG students of the College of CS & College of ECE","classes in Japanese:  
JLPT N1 is required 
or equivalent level of Japanese",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"交換至該校大學院情報學研究科
Exchange to the Graduate School of Informatics",,,,,,,,,,,,,,,,,,
"Japan
日本","Nara Institute of Science and Technology
奈良先端科學技術大學院大學",N/A,3 students,"全校研究所學生
U-wide PG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"學生以研究為主，但每學期仍需修讀2門專業課程 
Students will mainly do reseach with a professor at NAIST, but at the same time required to take at least 2 profesional courses per semester",,,,,,,,,,,,,,,,,,
"Japan
日本","Osaka Metropolitan University
大阪公立大學",901-950,2 students,PG students of the College of Science,,,"交換至該校大理學院
Exchange to the Graduate Schoo!of Science",,,,,,,,,,,,,,,,,,
"Japan
日本","Kwansei Gakuin University (KGU)
關西學院大學",1401+,2 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students","各program要求不同
Varies for different programs",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Brochure,,,,,,,,,,,,,,,,,,
,,,,,,,KGU ISession Recording,,,,,,,,,,,,,,,,,,
,,,,,,,"需額外申請文件 
Extra application document is required",,,,,,,,,,,,,,,,,,
"Japan
日本","Kyushu University
九州大學",167,10 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students","各program要求不同
Varies for different programs",,fact sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Q-PEL_Fall 2025.pdf,,,,,,,,,,,,,,,,,,
,,,,,,,額外申請文件,,,,,,,,,,,,,,,,,,
,,,,,,,Link,,,,,,,,,,,,,,,,,,
